county_name,race_description,cand_name,precinct_code,cand_tot_votes
BRYAN,FOR PRESIDENT AND VICE PRESIDENT,DONALD J. TRUMP | MICHAEL R. PENCE,70004,540
BRYAN,FOR PRESIDENT AND VICE PRESIDENT,HILLARY CLINTON | TIM KAINE,70004,227
BRYAN,FOR PRESIDENT AND VICE PRESIDENT,DONALD J. TRUMP | MICHAEL R. PENCE,70005,606
BRYAN,FOR PRESIDENT AND VICE PRESIDENT,HILLARY CLINTON | TIM KAINE,70005,237
BRYAN,FOR PRESIDENT AND VICE PRESIDENT,DONALD J. TRUMP | MICHAEL R. PENCE,70008,635
BRYAN,FOR PRESIDENT AND VICE PRESIDENT,HILLARY CLINTON | TIM KAINE,70008,205
BRYAN,FOR PRESIDENT AND VICE PRESIDENT,DONALD J. TRUMP | MICHAEL R. PENCE,70010,389
BRYAN,FOR PRESIDENT AND VICE PRESIDENT,HILLARY CLINTON | TIM KAINE,70010,102
BRYAN,FOR PRESIDENT AND VICE PRESIDENT,DONALD J. TRUMP | MICHAEL R. PENCE,70011,174
BRYAN,FOR PRESIDENT AND VICE PRESIDENT,HILLARY CLINTON | TIM KAINE,70011,37
BRYAN,FOR PRESIDENT AND VICE PRESIDENT,DONALD J. TRUMP | MICHAEL R. PENCE,70013,449
BRYAN,FOR PRESIDENT AND VICE PRESIDENT,HILLARY CLINTON | TIM KAINE,70013,98
BRYAN,FOR PRESIDENT AND VICE PRESIDENT,DONALD J. TRUMP | MICHAEL R. PENCE,70014,279
BRYAN,FOR PRESIDENT AND VICE PRESIDENT,HILLARY CLINTON | TIM KAINE,70014,44
BRYAN,FOR PRESIDENT AND VICE PRESIDENT,DONALD J. TRUMP | MICHAEL R. PENCE,70015,484
BRYAN,FOR PRESIDENT AND VICE PRESIDENT,HILLARY CLINTON | TIM KAINE,70015,105
BRYAN,FOR PRESIDENT AND VICE PRESIDENT,DONALD J. TRUMP | MICHAEL R. PENCE,70017,372
BRYAN,FOR PRESIDENT AND VICE PRESIDENT,HILLARY CLINTON | TIM KAINE,70017,85
BRYAN,FOR PRESIDENT AND VICE PRESIDENT,DONALD J. TRUMP | MICHAEL R. PENCE,70018,714
BRYAN,FOR PRESIDENT AND VICE PRESIDENT,HILLARY CLINTON | TIM KAINE,70018,159
BRYAN,FOR PRESIDENT AND VICE PRESIDENT,DONALD J. TRUMP | MICHAEL R. PENCE,70019,562
BRYAN,FOR PRESIDENT AND VICE PRESIDENT,HILLARY CLINTON | TIM KAINE,70019,123
BRYAN,FOR PRESIDENT AND VICE PRESIDENT,DONALD J. TRUMP | MICHAEL R. PENCE,70020,432
BRYAN,FOR PRESIDENT AND VICE PRESIDENT,HILLARY CLINTON | TIM KAINE,70020,105
BRYAN,FOR PRESIDENT AND VICE PRESIDENT,DONALD J. TRUMP | MICHAEL R. PENCE,70021,524
BRYAN,FOR PRESIDENT AND VICE PRESIDENT,HILLARY CLINTON | TIM KAINE,70021,103
BRYAN,FOR PRESIDENT AND VICE PRESIDENT,DONALD J. TRUMP | MICHAEL R. PENCE,70022,673
BRYAN,FOR PRESIDENT AND VICE PRESIDENT,HILLARY CLINTON | TIM KAINE,70022,210
